state,x,y
Andhra Pradesh,-58,-115
Arunachal Pradesh,207,121
Assam,155,88
Bihar,46,64
Chhattisgarh,-25,-26
Goa,-191,-160
Gujarat,-241,18
Haryana,-127,133
Himachal Pradesh,-156,203
Jharkhand,25,23
Karnataka,-141,-179
Kerala,-155,-264
Madhya Pradesh,-129,2
Maharashtra,-205,-83
Manipur,219,54
Meghalaya,147,64
Mizoram,197,11
Nagaland,228,82
Odisha,26,-47
Punjab,-148,165
Rajasthan,-215,80
Sikkim,85,111
Tamil nadu,-105,-243
Telangana,-87,-111
Tripura,145,23
Uttarakhand,-73,159
Uttar Pradesh,-77,97
West Bengal,86,7
